school_id,year,short_name,school_type,primary_category,address,city,state,zip,phone,website,progress_report_year,student_growth_rating,student_attainment_rating,growth_reading_grades_tested_pct_es,growth_math_grades_tested_pct_es,attainment_reading_pct_es,attainment_math_pct_es,culture_climate_rating,school_survey_involved_families,school_survey_supportive_environment,school_survey_ambitious_instruction,school_survey_effective_leaders,school_survey_collaborative_teachers,school_survey_safety,suspensions_per_100_students_avg_pct,student_attendance_avg_pct,mobility_rate_pct,one_year_dropout_rate_year_1_pct,freshmen_on_track_school_pct_year_1,college_enrollment_school_pct_year_1,college_persistence_school_pct_year_2,teacher_attendance_avg_pct,school_latitude,school_longitude
400013,2015-16,ASPIRA - EARLY COLLEGE HS,Charter,HS,3986 W BARRY AVE,Chicago,Illinois,60618,7732520970, ,2015,AVERAGE,BELOW AVERAGE,NULL,NULL,NULL,NULL,NOT YET ORGANIZED,WEAK,NEUTRAL,WEAK,WEAK,WEAK,VERY WEAK,20.8,88.8,NULL,7.9,NULL,71.4,62.9,NULL,41.937298,-87.727096
400013,2016-17,ASPIRA - EARLY COLLEGE HS,Charter,HS,3986 W BARRY AVE,Chicago,Illinois,60618,7732520970,http://aspirail.org/domain/96,2016,BELOW AVERAGE,BELOW AVERAGE,NULL,NULL,NULL,NULL,WELL ORGANIZED,VERY STRONG,STRONG,VERY STRONG,VERY STRONG,VERY STRONG,WEAK,8.1,93.4,NULL,9.6,74.5,40.2,73.3,NULL,41.937298,-87.727096
400013,2017-18,ASPIRA - EARLY COLLEGE HS,Charter,HS, , , , ,7732520970,http://aspirail.org/domain/96,2017,ABOVE AVERAGE,BELOW EXPECTATIONS,NULL,NULL,NULL,NULL,WELL ORGANIZED,VERY STRONG,STRONG,VERY STRONG,VERY STRONG,VERY STRONG,NEUTRAL,5.8,92.8,13.4,5.2,88.6,29.5,56.5,NULL, , 
400013,2018-19,ASPIRA - EARLY COLLEGE HS,Charter,HS,3986 W BARRY AVE,Chicago,Illinois,60618,7732520970,https://aec.aspirail.org,2018,AVERAGE,FAR BELOW EXPECTATIONS,NULL,NULL,NULL,NULL,WELL ORGANIZED,STRONG,STRONG,STRONG,NEUTRAL,STRONG,WEAK,NULL,93.3,12.3,5.8,93.6,55.3,56.5,NULL,41.937298,-87.727096
400017,2015-16,ASPIRA - HAUGAN,Charter,MS,3729 W LELAND AVE,Chicago,Illinois,60625,7732520970, ,2015,AVERAGE,AVERAGE,62,33,44,45,ORGANIZED,NEUTRAL,NEUTRAL,STRONG,STRONG,NEUTRAL,WEAK,3.8,95.1,NULL,7.9,NULL,NULL,NULL,NULL,41.966406,-87.721825
400017,2016-17,ASPIRA - HAUGAN,Charter,MS,3729 W LELAND AVE,Chicago,Illinois,60625,7732520970,http://www.haugan.aspirail.org,2016,BELOW AVERAGE,AVERAGE,30,39,49,48,ORGANIZED,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,VERY WEAK,8.1,93.4,NULL,NULL,NULL,NULL,NULL,NULL,41.966406,-87.721825
400017,2017-18,ASPIRA - HAUGAN,Charter,MS, , , , ,7732520970,http://www.haugan.aspirail.org,2017,AVERAGE,AVERAGE,46,35,51,47,PARTIALLY ORGANIZED,NEUTRAL,WEAK,NEUTRAL,NEUTRAL,NEUTRAL,VERY WEAK,5.8,92.8,8.3,NULL,NULL,NULL,NULL,NULL, , 
400017,2018-19,ASPIRA - HAUGAN,Charter,MS,3729 W LELAND AVE,Chicago,Illinois,60625,7732520970,https://haugan.aspirail.org,2018,BELOW AVERAGE,AVERAGE,50,9,54,32,WELL ORGANIZED,VERY STRONG,STRONG,VERY STRONG,VERY STRONG,VERY STRONG,WEAK,NULL,93.3,8.3,NULL,NULL,NULL,NULL,NULL,41.966406,-87.721825
400021,2015-16,CATALYST - CIRCLE ROCK,Charter,ES,5608 W WASHINGTON BLVD,Chicago,Illinois,60644,7739455025, ,2015,BELOW AVERAGE,BELOW AVERAGE,15,6,30,27,PARTIALLY ORGANIZED,WEAK,NEUTRAL,STRONG,WEAK,WEAK,WEAK,3.8,95.1,5.1,7.9,NULL,NULL,NULL,NULL,41.882322,-87.765322
400021,2016-17,CATALYST - CIRCLE ROCK,Charter,ES,5608 W WASHINGTON BLVD,Chicago,Illinois,60644,7739455025,http://www.catalystschools.org/circle-rock,2016,ABOVE AVERAGE,BELOW AVERAGE,81,65,39,34,ORGANIZED,STRONG,WEAK,STRONG,NEUTRAL,STRONG,WEAK,8.1,93.4,5.1,NULL,NULL,NULL,NULL,NULL,41.882322,-87.765322
400021,2017-18,CATALYST - CIRCLE ROCK,Charter,ES, , , , ,7739455025,http://www.catalystschools.org/circle-rock,2017,AVERAGE,AVERAGE,79,28,44,31,MODERATELY ORGANIZED,NEUTRAL,WEAK,STRONG,NEUTRAL,NEUTRAL,VERY WEAK,5.8,92.8,6.8,NULL,NULL,NULL,NULL,NULL, , 
400021,2018-19,CATALYST - CIRCLE ROCK,Charter,ES,5608 W WASHINGTON BLVD,Chicago,Illinois,60644,7739455025,https://catalystschools.org/circle-rock,2018,AVERAGE,AVERAGE,58,27,49,32,WELL ORGANIZED,STRONG,STRONG,VERY STRONG,STRONG,STRONG,WEAK,NULL,93.3,3.1,NULL,NULL,NULL,NULL,NULL,41.882322,-87.765322
400022,2015-16,CHICAGO ARTS HS,Contract,HS,2714 W AUGUSTA BLVD,Chicago,Illinois,60622,7735349710, ,2015,ABOVE AVERAGE,AVERAGE,NULL,NULL,NULL,NULL,ORGANIZED,NEUTRAL,STRONG,VERY STRONG,WEAK,NEUTRAL,NEUTRAL,20.8,88.8,4.2,7.9,NULL,71.3,84.8,NULL,41.899377,-87.694945
400022,2016-17,CHIARTS HS,Contract,HS,2714 W AUGUSTA BLVD,Chicago,Illinois,60622,7735349710,http://www.chiarts.org,2016,AVERAGE,AVERAGE,NULL,NULL,NULL,NULL,WELL ORGANIZED,NEUTRAL,STRONG,VERY STRONG,NEUTRAL,STRONG,NEUTRAL,8.1,93.4,4.2,5.2,85.5,83.1,82.4,NULL,41.899377,-87.694945
400022,2017-18,CHIARTS HS,Contract,HS, , , , ,7735349710,http://www.chiarts.org,2017,BELOW AVERAGE,MET EXPECTATIONS,NULL,NULL,NULL,NULL,ORGANIZED,NEUTRAL,STRONG,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,5.8,92.8,2.6,3.1,93,79.6,88.9,NULL, , 
400022,2018-19,CHIARTS HS,Contract,HS,2714 W AUGUSTA BLVD,Chicago,Illinois,60622,7735349710,https://chiarts.org,2018,AVERAGE,MET EXPECTATIONS,NULL,NULL,NULL,NULL,MODERATELY ORGANIZED,NEUTRAL,STRONG,STRONG,WEAK,WEAK,WEAK,7.8,93.3,3.1,2,91.8,80.4,88.9,NULL,41.899377,-87.694945
400023,2015-16,CICS - AVALON/SOUTH SHORE,Charter,ES,1501 E 83RD PL,Chicago,Illinois,60619,7737210858, ,2015,ABOVE AVERAGE,FAR ABOVE AVERAGE,60,84,89,94,ORGANIZED,NEUTRAL,NEUTRAL,VERY STRONG,NEUTRAL,STRONG,NEUTRAL,3.8,95.1,NULL,7.9,NULL,NULL,NULL,NULL,41.743179,-87.587928
400023,2016-17,CICS - AVALON/SOUTH SHORE,Charter,ES,1501 E 83RD PL,Chicago,Illinois,60619,7737210858,http://www.regenerationschools.org/cics-avalon/,2016,FAR ABOVE AVERAGE,FAR ABOVE AVERAGE,97,73,91,85,MODERATELY ORGANIZED,NEUTRAL,WEAK,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,8.1,93.4,NULL,NULL,NULL,NULL,NULL,NULL,41.743179,-87.587928
400023,2017-18,CICS - AVALON/SOUTH SHORE,Charter,ES, , , , ,7737210858,http://www.regenerationschools.org/cics-avalon/,2017,BELOW AVERAGE,AVERAGE,6,12,69,67,MODERATELY ORGANIZED,NEUTRAL,WEAK,STRONG,NEUTRAL,NEUTRAL,WEAK,5.8,92.8,9.2,NULL,NULL,NULL,NULL,NULL, , 
400023,2018-19,CICS - AVALON/SOUTH SHORE,Charter,ES,1501 E 83RD PL,Chicago,Illinois,60619,7737210858,http://www.regenerationschools.org/cics-avalon/,2018,ABOVE AVERAGE,ABOVE AVERAGE,75,52,78,70,ORGANIZED,NEUTRAL,NEUTRAL,VERY STRONG,STRONG,NEUTRAL,WEAK,NULL,93.3,5.7,NULL,NULL,NULL,NULL,NULL,41.743179,-87.587928
400024,2015-16,CICS - BASIL,Charter,ES,1816 W GARFIELD BLVD,Chicago,Illinois,60609,7737789455, ,2015,AVERAGE,ABOVE AVERAGE,57,67,65,82,PARTIALLY ORGANIZED,WEAK,WEAK,STRONG,WEAK,NEUTRAL,WEAK,3.8,95.1,NULL,7.9,NULL,NULL,NULL,NULL,41.794043,-87.670243
400024,2016-17,CICS - BASIL,Charter,ES,1816 W GARFIELD BLVD,Chicago,Illinois,60609,7737789455,http://meditatemotivategraduate.org,2016,AVERAGE,AVERAGE,38,61,49,62,PARTIALLY ORGANIZED,WEAK,NEUTRAL,VERY STRONG,WEAK,WEAK,WEAK,8.1,93.4,NULL,NULL,NULL,NULL,NULL,NULL,41.794043,-87.670243
400024,2017-18,CICS - BASIL,Charter,ES, , , , ,7737789455,http://www.regenerationschools.org/cics-basil/,2017,AVERAGE,AVERAGE,68,42,54,54,NOT YET ORGANIZED,WEAK,WEAK,STRONG,WEAK,WEAK,VERY WEAK,5.8,92.8,17.5,NULL,NULL,NULL,NULL,NULL, , 
400024,2018-19,CICS - BASIL,Charter,ES,1816 W GARFIELD BLVD,Chicago,Illinois,60609,7737789455,http://www.regenerationschools.org/cics-basil/,2018,AVERAGE,AVERAGE,68,63,54,54,PARTIALLY ORGANIZED,WEAK,NEUTRAL,STRONG,WEAK,NEUTRAL,WEAK,NULL,93.3,13.2,NULL,NULL,NULL,NULL,NULL,41.794043,-87.670243
400025,2015-16,CICS - BUCKTOWN,Charter,ES,2235 N HAMILTON AVE,Chicago,Illinois,60647,7736453321, ,2015,BELOW AVERAGE,AVERAGE,31,36,61,60,ORGANIZED,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,STRONG,STRONG,3.8,95.1,NULL,7.9,NULL,NULL,NULL,NULL,41.922415,-87.681358
400025,2016-17,CICS - BUCKTOWN,Charter,ES,2235 N HAMILTON AVE,Chicago,Illinois,60647,7736453321,http://www.cicsbucktown.org/,2016,AVERAGE,ABOVE AVERAGE,68,34,71,53,WELL ORGANIZED,STRONG,STRONG,VERY STRONG,STRONG,VERY STRONG,VERY STRONG,8.1,93.4,NULL,NULL,NULL,NULL,NULL,NULL,41.922415,-87.681358
400025,2017-18,CICS - BUCKTOWN,Charter,ES, , , , ,7736453321,http://www.cicsbucktown.org/,2017,ABOVE AVERAGE,ABOVE AVERAGE,70,61,79,62,WELL ORGANIZED,VERY STRONG,STRONG,STRONG,STRONG,VERY STRONG,STRONG,5.8,92.8,4.1,NULL,NULL,NULL,NULL,NULL, , 
400025,2018-19,CICS - BUCKTOWN,Charter,ES,2235 N HAMILTON AVE,Chicago,Illinois,60647,7736453321,https://www.cicsbucktown.org,2018,AVERAGE,ABOVE AVERAGE,58,48,82,70,WELL ORGANIZED,VERY STRONG,NEUTRAL,STRONG,STRONG,VERY STRONG,NEUTRAL,NULL,93.3,2.3,NULL,NULL,NULL,NULL,NULL,41.922415,-87.681358
400026,2015-16,CICS - LOOMIS,Charter,ES,9535 S LOOMIS ST,Chicago,Illinois,60643,7734298955, ,2015,NO DATA AVAILABLE,NO DATA AVAILABLE,NULL,NULL,NULL,NULL,MODERATELY ORGANIZED,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NEUTRAL,NEUTRAL,NOT ENOUGH DATA,3.8,95.1,NULL,7.9,NULL,NULL,NULL,NULL,41.720246,-87.657561
400026,2016-17,CICS - LOOMIS,Charter,ES,9535 S LOOMIS ST,Chicago,Illinois,60643,7734298955,http://www.chicagointl.org/campuses/loomis-primary.html,2016,NO DATA AVAILABLE,FAR ABOVE AVERAGE,NULL,NULL,99,99,PARTIALLY ORGANIZED,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NEUTRAL,WEAK,NOT ENOUGH DATA,8.1,93.4,NULL,NULL,NULL,NULL,NULL,NULL,41.720246,-87.657561
400026,2017-18,CICS - LOOMIS,Charter,ES, , , , ,7734298955,http://www.chicagointl.org/campuses/loomis-primary.html,2017,NO DATA AVAILABLE,BELOW AVERAGE,NULL,NULL,21,28,MODERATELY ORGANIZED,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NEUTRAL,NEUTRAL,NOT ENOUGH DATA,5.8,92.8,9.1,NULL,NULL,NULL,NULL,NULL, , 
400026,2018-19,CICS - LOOMIS,Charter,ES,9535 S LOOMIS ST,Chicago,Illinois,60643,7734298955,https://cicsloomisprimary.org,2018,NO DATA AVAILABLE,AVERAGE,NULL,NULL,19,42,ORGANIZED,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,STRONG,NEUTRAL,NOT ENOUGH DATA,NULL,93.3,11.8,NULL,NULL,NULL,NULL,NULL,41.720246,-87.657561
400027,2015-16,CICS - IRVING PARK,Charter,ES,3820 N SPAULDING AVE,Chicago,Illinois,60618,7734335000, ,2015,AVERAGE,FAR ABOVE AVERAGE,55,34,89,92,WELL ORGANIZED,VERY STRONG,STRONG,STRONG,VERY STRONG,VERY STRONG,VERY STRONG,3.8,95.1,NULL,7.9,NULL,NULL,NULL,NULL,41.950891,-87.710492
400027,2016-17,CICS - IRVING PARK,Charter,ES,3820 N SPAULDING AVE,Chicago,Illinois,60618,7734335000,http://cicsirvingpark.org/,2016,ABOVE AVERAGE,ABOVE AVERAGE,73,52,84,81,WELL ORGANIZED,VERY STRONG,STRONG,VERY STRONG,STRONG,VERY STRONG,VERY STRONG,8.1,93.4,NULL,NULL,NULL,NULL,NULL,NULL,41.950891,-87.710492
400027,2017-18,CICS - IRVING PARK,Charter,ES, , , , ,7734335000,http://cicsirvingpark.org/,2017,ABOVE AVERAGE,ABOVE AVERAGE,78,61,84,79,WELL ORGANIZED,VERY STRONG,STRONG,NEUTRAL,STRONG,VERY STRONG,STRONG,5.8,92.8,0.7,NULL,NULL,NULL,NULL,NULL, , 
400027,2018-19,CICS - IRVING PARK,Charter,ES,3820 N SPAULDING AVE,Chicago,Illinois,60618,7734335000,https://www.cicsirvingpark.org,2018,AVERAGE,ABOVE AVERAGE,40,31,75,65,ORGANIZED,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,NULL,93.3,2.3,NULL,NULL,NULL,NULL,NULL,41.950891,-87.710492
400028,2015-16,CICS - PRAIRIE,Charter,ES,11530 S PRAIRIE AVE,Chicago,Illinois,60628,7739280480, ,2015,BELOW AVERAGE,BELOW AVERAGE,11,14,34,33,MODERATELY ORGANIZED,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,3.8,95.1,NULL,7.9,NULL,NULL,NULL,NULL,41.684433,-87.616888
400028,2016-17,CICS - PRAIRIE,Charter,ES,11530 S PRAIRIE AVE,Chicago,Illinois,60628,7739280480,http://cicsprairie.org/,2016,AVERAGE,AVERAGE,64,42,41,34,PARTIALLY ORGANIZED,NEUTRAL,WEAK,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,8.1,93.4,NULL,NULL,NULL,NULL,NULL,NULL,41.684433,-87.616888
400028,2017-18,CICS - PRAIRIE,Charter,ES, , , , ,7739280480,http://cicsprairie.org/,2017,AVERAGE,AVERAGE,40,58,42,47,ORGANIZED,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,5.8,92.8,4.5,NULL,NULL,NULL,NULL,NULL, , 
400028,2018-19,CICS - PRAIRIE,Charter,ES,11530 S PRAIRIE AVE,Chicago,Illinois,60628,7739280480,https://www.cicsprairie.org,2018,BELOW AVERAGE,AVERAGE,14,17,34,47,PARTIALLY ORGANIZED,NEUTRAL,WEAK,WEAK,NEUTRAL,NEUTRAL,WEAK,NULL,93.3,4,NULL,NULL,NULL,NULL,NULL,41.684433,-87.616888
400029,2015-16,CICS - WASHINGTON PARK,Charter,ES,110 E 61ST ST,Chicago,Illinois,60637,7733470200, ,2015,AVERAGE,AVERAGE,31,42,52,46,ORGANIZED,NEUTRAL,NEUTRAL,VERY STRONG,NEUTRAL,NEUTRAL,WEAK,3.8,95.1,NULL,7.9,NULL,NULL,NULL,NULL,41.783617,-87.622068
400029,2016-17,CICS - WASHINGTON PARK,Charter,ES,110 E 61ST ST,Chicago,Illinois,60637,7733470200,http://www.chicagointl.org/campuses/washington-park.html,2016,BELOW AVERAGE,AVERAGE,38,14,49,33,ORGANIZED,STRONG,VERY WEAK,STRONG,NEUTRAL,NEUTRAL,VERY WEAK,8.1,93.4,NULL,NULL,NULL,NULL,NULL,NULL,41.783617,-87.622068
400029,2017-18,CICS - WASHINGTON PARK,Charter,ES, , , , ,7733470200,http://www.chicagointl.org/campuses/washington-park.html,2017,AVERAGE,AVERAGE,71,17,52,24,ORGANIZED,NEUTRAL,WEAK,STRONG,NEUTRAL,STRONG,VERY WEAK,5.8,92.8,10.4,NULL,NULL,NULL,NULL,NULL, , 
400029,2018-19,CICS - WASHINGTON PARK,Charter,ES,110 E 61ST ST,Chicago,Illinois,60637,7733470200,https://regenerationschools.org/cics-washingtonpark,2018,FAR ABOVE AVERAGE,AVERAGE,76,92,60,47,ORGANIZED,NEUTRAL,NEUTRAL,VERY STRONG,NEUTRAL,STRONG,WEAK,NULL,93.3,11.6,NULL,NULL,NULL,NULL,NULL,41.783617,-87.622068
400030,2015-16,CICS - WEST BELDEN,Charter,ES,2245 N MCVICKER AVE,Chicago,Illinois,60639,7736379430, ,2015,AVERAGE,ABOVE AVERAGE,43,42,86,85,WELL ORGANIZED,VERY STRONG,VERY STRONG,VERY STRONG,STRONG,VERY STRONG,VERY STRONG,3.8,95.1,NULL,7.9,NULL,NULL,NULL,NULL,41.921687,-87.776749
400030,2016-17,CICS - WEST BELDEN,Charter,ES,2245 N MCVICKER AVE,Chicago,Illinois,60639,7736379430,http://www.cicswestbelden.org/,2016,ABOVE AVERAGE,ABOVE AVERAGE,78,45,89,75,WELL ORGANIZED,VERY STRONG,VERY STRONG,VERY STRONG,STRONG,VERY STRONG,VERY STRONG,8.1,93.4,NULL,NULL,NULL,NULL,NULL,NULL,41.921687,-87.776749
400030,2017-18,CICS - WEST BELDEN,Charter,ES, , , , ,7736379430,http://www.cicswestbelden.org/,2017,AVERAGE,ABOVE AVERAGE,40,55,88,78,WELL ORGANIZED,VERY STRONG,STRONG,STRONG,STRONG,VERY STRONG,STRONG,5.8,92.8,0,NULL,NULL,NULL,NULL,NULL, , 
400030,2018-19,CICS - WEST BELDEN,Charter,ES,2245 N MCVICKER AVE,Chicago,Illinois,60639,7736379430,https://www.cicswestbelden.org,2018,BELOW AVERAGE,ABOVE AVERAGE,18,22,79,76,WELL ORGANIZED,STRONG,STRONG,STRONG,NEUTRAL,STRONG,STRONG,NULL,93.3,2.4,NULL,NULL,NULL,NULL,NULL,41.921687,-87.776749
400031,2015-16,CICS - WRIGHTWOOD,Charter,ES,8130 S CALIFORNIA AVE,Chicago,Illinois,60652,7734344575, ,2015,AVERAGE,ABOVE AVERAGE,40,66,69,81,WELL ORGANIZED,STRONG,NEUTRAL,STRONG,NEUTRAL,STRONG,NEUTRAL,3.8,95.1,NULL,7.9,NULL,NULL,NULL,NULL,41.745365,-87.692614
400031,2016-17,CICS - WRIGHTWOOD,Charter,ES,8130 S CALIFORNIA AVE,Chicago,Illinois,60652,7734344575,http://www.cicswrightwood.org,2016,AVERAGE,AVERAGE,60,60,69,69,NOT YET ORGANIZED,WEAK,WEAK,NEUTRAL,WEAK,WEAK,NEUTRAL,8.1,93.4,NULL,NULL,NULL,NULL,NULL,NULL,41.745365,-87.692614
400031,2017-18,CICS - WRIGHTWOOD,Charter,ES, , , , ,7734344575,http://www.cicswrightwood.org,2017,BELOW AVERAGE,AVERAGE,24,9,54,44,NOT YET ORGANIZED,NEUTRAL,WEAK,NEUTRAL,WEAK,WEAK,NEUTRAL,5.8,92.8,7.2,NULL,NULL,NULL,NULL,NULL, , 
400031,2018-19,CICS - WRIGHTWOOD,Charter,ES,8130 S CALIFORNIA AVE,Chicago,Illinois,60652,7734344575,https://cicswrightwood.org,2018,AVERAGE,AVERAGE,71,31,55,36,WELL ORGANIZED,VERY STRONG,WEAK,VERY STRONG,STRONG,VERY STRONG,WEAK,NULL,93.3,6.8,NULL,NULL,NULL,NULL,NULL,41.745365,-87.692614
400032,2015-16,CICS - ELLISON HS,Charter,HS,1817 W 80TH ST,Chicago,Illinois,60620,7734784434, ,2015,BELOW AVERAGE,BELOW AVERAGE,NULL,NULL,NULL,NULL,WELL ORGANIZED,NEUTRAL,NEUTRAL,STRONG,STRONG,STRONG,WEAK,20.8,88.8,NULL,7.9,NULL,75.2,70.5,NULL,41.748382,-87.66898
400032,2016-17,CICS - ELLISON HS,Charter,HS,1817 W 80TH ST,Chicago,Illinois,60620,7734784434,http://www.cicsellison.org,2016,AVERAGE,BELOW AVERAGE,NULL,NULL,NULL,NULL,WELL ORGANIZED,STRONG,NEUTRAL,STRONG,STRONG,STRONG,WEAK,8.1,93.4,NULL,3.7,74.4,68.6,61,NULL,41.748382,-87.66898
400032,2017-18,CICS - ELLISON HS,Charter,HS, , , , ,7734784434,http://www.cicsellison.org,2017,BELOW AVERAGE,FAR BELOW EXPECTATIONS,NULL,NULL,NULL,NULL,WELL ORGANIZED,STRONG,NEUTRAL,STRONG,STRONG,STRONG,WEAK,5.8,92.8,17.8,3.7,71.4,64.3,66.7,NULL, , 
400032,2018-19,CICS - ELLISON HS,Charter,HS,1817 W 80TH ST,Chicago,Illinois,60620,7734784434,https://cicsellison.org,2018,BELOW AVERAGE,FAR BELOW EXPECTATIONS,NULL,NULL,NULL,NULL,ORGANIZED,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,WEAK,NULL,93.3,20.8,3.9,88.3,50.6,66.7,NULL,41.748382,-87.66898
400033,2015-16,CICS - LONGWOOD,Charter,HS,1309 W 95TH ST,Chicago,Illinois,60643,7732385330, ,2015,BELOW AVERAGE,BELOW AVERAGE,66,42,42,27,PARTIALLY ORGANIZED,NEUTRAL,VERY WEAK,WEAK,NEUTRAL,NEUTRAL,VERY WEAK,20.8,88.8,NULL,7.9,NULL,57.6,58.8,NULL,41.721221,-87.655768
400033,2016-17,CICS - LONGWOOD,Charter,HS,1309 W 95TH ST,Chicago,Illinois,60643,7732385330,http://www.longwoodcharter.org,2016,AVERAGE,BELOW AVERAGE,68,58,49,32,PARTIALLY ORGANIZED,NEUTRAL,WEAK,NEUTRAL,NEUTRAL,NEUTRAL,VERY WEAK,8.1,93.4,NULL,3.1,93,71.9,67.2,NULL,41.721221,-87.655768
